file,speaker,sex,age
chuang/HH_f_3.wav,HH_01_f_3,f,3
chuang/HH_f_15_2.wav,HH_02_f_15_2,f,15
chuang/HH_f_15.wav,HH_03_f_15,f,15
chuang/HH_f_19.wav,HH_04_f_1,f,19
chuang/HH_f_24.wav,HH_05_f_24,f,24
chuang/HH_f_26.wav,HH_06_f_26,f,26
chuang/HH_f_27.wav,HH_07_f_27,f,27
chuang/HH_f_32.wav,HH_08_f_32,f,32
chuang/HH_f_40.wav,HH_09_f_40,f,40
chuang/HH_f_50.wav,HH_10_f_50,f,50
chuang/HH_f_78.wav,HH_11_f_78,f,78
chuang/HH_m_19.wav,HH_12_m_19,m,19
chuang/HH_m_23_1.wav,HH_13_m_23_1,m,23
chuang/HH_m_23_2.wav,HH_14_m_23_2,m,23
chuang/HH_m_24_2.wav,HH_15_m_24_3,m,24
chuang/HH_m_24.wav,HH_16_m_24,m,24
chuang/HH_m_25.wav,HH_17_m_25,m,25
chuang/HH_m_35.wav,HH_18_m_35,m,35
chuang/HH_m_56.wav,HH_19_m_56,m,56
chuang/HH_m_75.wav,HH_20_m_75,m,75
